Training mode: Adversarial only
Training model...
Epoch [1/200]	Time: 26.41 seconds	Total Loss: 1.329	Classifier Loss: 0.676	Transfer Loss: 0.65277	Source Domain Accuracy: 60.81%    Target Domain Accuracy: 57.88%
Epoch [2/200]	Time: 4.29 seconds	Total Loss: 1.080	Classifier Loss: 0.663	Transfer Loss: 0.41684	Source Domain Accuracy: 59.83%    Target Domain Accuracy: 57.03%
Epoch [3/200]	Time: 4.29 seconds	Total Loss: 1.058	Classifier Loss: 0.654	Transfer Loss: 0.40428	Source Domain Accuracy: 64.13%    Target Domain Accuracy: 63.93%
Epoch [4/200]	Time: 4.29 seconds	Total Loss: 1.278	Classifier Loss: 0.645	Transfer Loss: 0.63307	Source Domain Accuracy: 62.04%    Target Domain Accuracy: 62.50%
Epoch [5/200]	Time: 4.29 seconds	Total Loss: 1.267	Classifier Loss: 0.635	Transfer Loss: 0.63207	Source Domain Accuracy: 63.80%    Target Domain Accuracy: 63.61%
Epoch [6/200]	Time: 5.34 seconds	Total Loss: 1.213	Classifier Loss: 0.621	Transfer Loss: 0.59216	Source Domain Accuracy: 64.65%    Target Domain Accuracy: 64.65%
Epoch [7/200]	Time: 4.28 seconds	Total Loss: 1.243	Classifier Loss: 0.615	Transfer Loss: 0.62866	Source Domain Accuracy: 65.49%    Target Domain Accuracy: 64.97%
Epoch [8/200]	Time: 4.27 seconds	Total Loss: 1.245	Classifier Loss: 0.605	Transfer Loss: 0.63985	Source Domain Accuracy: 67.19%    Target Domain Accuracy: 66.60%
Epoch [9/200]	Time: 4.27 seconds	Total Loss: 1.244	Classifier Loss: 0.596	Transfer Loss: 0.64826	Source Domain Accuracy: 67.51%    Target Domain Accuracy: 67.06%
Epoch [10/200]	Time: 4.27 seconds	Total Loss: 1.254	Classifier Loss: 0.587	Transfer Loss: 0.66768	Source Domain Accuracy: 68.42%    Target Domain Accuracy: 68.55%
Epoch [11/200]	Time: 4.27 seconds	Total Loss: 1.242	Classifier Loss: 0.572	Transfer Loss: 0.66968	Source Domain Accuracy: 69.21%    Target Domain Accuracy: 69.92%
Epoch [12/200]	Time: 5.27 seconds	Total Loss: 1.231	Classifier Loss: 0.562	Transfer Loss: 0.66886	Source Domain Accuracy: 69.99%    Target Domain Accuracy: 70.38%
Epoch [13/200]	Time: 4.27 seconds	Total Loss: 1.227	Classifier Loss: 0.548	Transfer Loss: 0.67846	Source Domain Accuracy: 70.25%    Target Domain Accuracy: 69.27%
Epoch [14/200]	Time: 4.27 seconds	Total Loss: 1.203	Classifier Loss: 0.537	Transfer Loss: 0.66560	Source Domain Accuracy: 72.27%    Target Domain Accuracy: 71.16%
Epoch [15/200]	Time: 4.26 seconds	Total Loss: 1.197	Classifier Loss: 0.530	Transfer Loss: 0.66676	Source Domain Accuracy: 72.98%    Target Domain Accuracy: 72.20%
Epoch [16/200]	Time: 4.25 seconds	Total Loss: 1.191	Classifier Loss: 0.520	Transfer Loss: 0.67184	Source Domain Accuracy: 74.09%    Target Domain Accuracy: 72.59%
Epoch [17/200]	Time: 5.32 seconds	Total Loss: 1.181	Classifier Loss: 0.508	Transfer Loss: 0.67226	Source Domain Accuracy: 73.57%    Target Domain Accuracy: 72.01%
Epoch [18/200]	Time: 4.27 seconds	Total Loss: 1.182	Classifier Loss: 0.494	Transfer Loss: 0.68772	Source Domain Accuracy: 69.08%    Target Domain Accuracy: 69.34%
Epoch [19/200]	Time: 4.28 seconds	Total Loss: 1.163	Classifier Loss: 0.482	Transfer Loss: 0.68181	Source Domain Accuracy: 72.46%    Target Domain Accuracy: 70.25%
Epoch [20/200]	Time: 4.28 seconds	Total Loss: 1.150	Classifier Loss: 0.477	Transfer Loss: 0.67232	Source Domain Accuracy: 74.28%    Target Domain Accuracy: 72.53%
Epoch [21/200]	Time: 4.27 seconds	Total Loss: 1.146	Classifier Loss: 0.479	Transfer Loss: 0.66670	Source Domain Accuracy: 74.15%    Target Domain Accuracy: 72.33%
Epoch [22/200]	Time: 5.31 seconds	Total Loss: 1.156	Classifier Loss: 0.482	Transfer Loss: 0.67402	Source Domain Accuracy: 67.45%    Target Domain Accuracy: 68.10%
