Training mode: MMD + fisher + EM
Training model...
Epoch [1/200]	Time: 38.66 seconds	Total Loss: 2.672	Classifier Loss: 0.678	Transfer Loss: 0.410	Fisher Loss: 1.550	EM Loss: 0.034	Souce Domain Accuracy: 60.22%    Target Domain Accuracy: 61.39%
Epoch [2/200]	Time: 19.25 seconds	Total Loss: 2.152	Classifier Loss: 0.663	Transfer Loss: 0.144	Fisher Loss: 1.311	EM Loss: 0.033	Souce Domain Accuracy: 63.54%    Target Domain Accuracy: 64.26%
Epoch [3/200]	Time: 19.25 seconds	Total Loss: 2.078	Classifier Loss: 0.635	Transfer Loss: 0.113	Fisher Loss: 1.298	EM Loss: 0.032	Souce Domain Accuracy: 66.54%    Target Domain Accuracy: 64.78%
Epoch [4/200]	Time: 19.30 seconds	Total Loss: 2.042	Classifier Loss: 0.601	Transfer Loss: 0.112	Fisher Loss: 1.298	EM Loss: 0.030	Souce Domain Accuracy: 70.05%    Target Domain Accuracy: 68.82%
Epoch [5/200]	Time: 19.31 seconds	Total Loss: 2.023	Classifier Loss: 0.580	Transfer Loss: 0.115	Fisher Loss: 1.298	EM Loss: 0.029	Souce Domain Accuracy: 72.01%    Target Domain Accuracy: 69.86%
Epoch [6/200]	Time: 20.65 seconds	Total Loss: 1.998	Classifier Loss: 0.557	Transfer Loss: 0.114	Fisher Loss: 1.299	EM Loss: 0.028	Souce Domain Accuracy: 72.53%    Target Domain Accuracy: 71.88%
Epoch [7/200]	Time: 19.37 seconds	Total Loss: 1.981	Classifier Loss: 0.539	Transfer Loss: 0.116	Fisher Loss: 1.299	EM Loss: 0.027	Souce Domain Accuracy: 74.35%    Target Domain Accuracy: 71.74%
Epoch [8/200]	Time: 19.29 seconds	Total Loss: 1.954	Classifier Loss: 0.514	Transfer Loss: 0.115	Fisher Loss: 1.299	EM Loss: 0.026	Souce Domain Accuracy: 73.05%    Target Domain Accuracy: 71.35%
Epoch [9/200]	Time: 19.30 seconds	Total Loss: 1.942	Classifier Loss: 0.503	Transfer Loss: 0.114	Fisher Loss: 1.299	EM Loss: 0.025	Souce Domain Accuracy: 75.20%    Target Domain Accuracy: 73.18%
Epoch [10/200]	Time: 20.66 seconds	Total Loss: 1.929	Classifier Loss: 0.492	Transfer Loss: 0.113	Fisher Loss: 1.300	EM Loss: 0.024	Souce Domain Accuracy: 72.92%    Target Domain Accuracy: 69.79%
Epoch [11/200]	Time: 19.29 seconds	Total Loss: 1.918	Classifier Loss: 0.482	Transfer Loss: 0.112	Fisher Loss: 1.300	EM Loss: 0.024	Souce Domain Accuracy: 75.39%    Target Domain Accuracy: 72.59%
