Training mode: MMD only
Training model...
Epoch [1/200]	Time: 23.76 seconds	Total Loss: 4.766	Classifier Loss: 0.693	Transfer Loss: 4.072	Souce Domain Accuracy: 49.02%    Target Domain Accuracy: 57.42%
Epoch [2/200]	Time: 2.81 seconds	Total Loss: 1.972	Classifier Loss: 0.690	Transfer Loss: 1.282	Souce Domain Accuracy: 53.32%    Target Domain Accuracy: 52.73%
Epoch [3/200]	Time: 2.81 seconds	Total Loss: 1.563	Classifier Loss: 0.686	Transfer Loss: 0.878	Souce Domain Accuracy: 53.71%    Target Domain Accuracy: 52.34%
Epoch [4/200]	Time: 4.17 seconds	Total Loss: 1.357	Classifier Loss: 0.681	Transfer Loss: 0.675	Souce Domain Accuracy: 52.93%    Target Domain Accuracy: 53.52%
Epoch [5/200]	Time: 2.81 seconds	Total Loss: 1.282	Classifier Loss: 0.681	Transfer Loss: 0.601	Souce Domain Accuracy: 56.05%    Target Domain Accuracy: 54.30%
Epoch [6/200]	Time: 4.17 seconds	Total Loss: 1.172	Classifier Loss: 0.682	Transfer Loss: 0.490	Souce Domain Accuracy: 53.71%    Target Domain Accuracy: 58.98%
Epoch [7/200]	Time: 2.81 seconds	Total Loss: 1.133	Classifier Loss: 0.681	Transfer Loss: 0.452	Souce Domain Accuracy: 54.30%    Target Domain Accuracy: 58.20%
Epoch [8/200]	Time: 4.15 seconds	Total Loss: 1.077	Classifier Loss: 0.677	Transfer Loss: 0.401	Souce Domain Accuracy: 56.05%    Target Domain Accuracy: 59.77%
Epoch [9/200]	Time: 2.81 seconds	Total Loss: 1.067	Classifier Loss: 0.675	Transfer Loss: 0.392	Souce Domain Accuracy: 51.76%    Target Domain Accuracy: 62.11%
Epoch [10/200]	Time: 2.80 seconds	Total Loss: 1.042	Classifier Loss: 0.669	Transfer Loss: 0.373	Souce Domain Accuracy: 55.66%    Target Domain Accuracy: 63.67%
Epoch [11/200]	Time: 4.17 seconds	Total Loss: 1.057	Classifier Loss: 0.673	Transfer Loss: 0.384	Souce Domain Accuracy: 59.96%    Target Domain Accuracy: 60.94%
Epoch [12/200]	Time: 2.81 seconds	Total Loss: 1.035	Classifier Loss: 0.674	Transfer Loss: 0.361	Souce Domain Accuracy: 54.88%    Target Domain Accuracy: 62.89%
Epoch [13/200]	Time: 4.17 seconds	Total Loss: 1.013	Classifier Loss: 0.666	Transfer Loss: 0.347	Souce Domain Accuracy: 60.94%    Target Domain Accuracy: 63.09%
Epoch [14/200]	Time: 2.81 seconds	Total Loss: 1.009	Classifier Loss: 0.667	Transfer Loss: 0.342	Souce Domain Accuracy: 57.42%    Target Domain Accuracy: 61.13%
Epoch [15/200]	Time: 4.17 seconds	Total Loss: 1.009	Classifier Loss: 0.664	Transfer Loss: 0.345	Souce Domain Accuracy: 58.98%    Target Domain Accuracy: 62.30%
Epoch [16/200]	Time: 2.81 seconds	Total Loss: 0.996	Classifier Loss: 0.662	Transfer Loss: 0.334	Souce Domain Accuracy: 58.79%    Target Domain Accuracy: 59.96%
Epoch [17/200]	Time: 4.16 seconds	Total Loss: 0.991	Classifier Loss: 0.663	Transfer Loss: 0.328	Souce Domain Accuracy: 60.55%    Target Domain Accuracy: 60.94%
Epoch [18/200]	Time: 2.82 seconds	Total Loss: 0.992	Classifier Loss: 0.660	Transfer Loss: 0.332	Souce Domain Accuracy: 57.62%    Target Domain Accuracy: 62.30%
Epoch [19/200]	Time: 2.81 seconds	Total Loss: 0.990	Classifier Loss: 0.659	Transfer Loss: 0.331	Souce Domain Accuracy: 64.26%    Target Domain Accuracy: 60.74%
Epoch [20/200]	Time: 4.17 seconds	Total Loss: 0.972	Classifier Loss: 0.654	Transfer Loss: 0.318	Souce Domain Accuracy: 62.70%    Target Domain Accuracy: 63.09%
Epoch [21/200]	Time: 2.82 seconds	Total Loss: 0.997	Classifier Loss: 0.663	Transfer Loss: 0.335	Souce Domain Accuracy: 58.59%    Target Domain Accuracy: 62.70%
Epoch [22/200]	Time: 4.18 seconds	Total Loss: 0.981	Classifier Loss: 0.652	Transfer Loss: 0.328	Souce Domain Accuracy: 61.72%    Target Domain Accuracy: 62.50%
Epoch [23/200]	Time: 2.84 seconds	Total Loss: 0.968	Classifier Loss: 0.651	Transfer Loss: 0.317	Souce Domain Accuracy: 65.82%    Target Domain Accuracy: 63.87%
Epoch [24/200]	Time: 4.16 seconds	Total Loss: 0.979	Classifier Loss: 0.656	Transfer Loss: 0.323	Souce Domain Accuracy: 63.48%    Target Domain Accuracy: 62.70%
Epoch [25/200]	Time: 2.81 seconds	Total Loss: 0.990	Classifier Loss: 0.663	Transfer Loss: 0.328	Souce Domain Accuracy: 63.67%    Target Domain Accuracy: 64.06%
Epoch [26/200]	Time: 4.16 seconds	Total Loss: 0.966	Classifier Loss: 0.649	Transfer Loss: 0.318	Souce Domain Accuracy: 54.88%    Target Domain Accuracy: 58.98%
Epoch [27/200]	Time: 2.81 seconds	Total Loss: 0.967	Classifier Loss: 0.644	Transfer Loss: 0.323	Souce Domain Accuracy: 63.87%    Target Domain Accuracy: 66.60%
Epoch [28/200]	Time: 2.81 seconds	Total Loss: 0.977	Classifier Loss: 0.657	Transfer Loss: 0.321	Souce Domain Accuracy: 63.48%    Target Domain Accuracy: 64.45%
Epoch [29/200]	Time: 4.17 seconds	Total Loss: 0.982	Classifier Loss: 0.660	Transfer Loss: 0.322	Souce Domain Accuracy: 66.02%    Target Domain Accuracy: 66.80%
Epoch [30/200]	Time: 2.81 seconds	Total Loss: 0.958	Classifier Loss: 0.642	Transfer Loss: 0.316	Souce Domain Accuracy: 64.06%    Target Domain Accuracy: 64.84%
Epoch [31/200]	Time: 4.15 seconds	Total Loss: 0.950	Classifier Loss: 0.640	Transfer Loss: 0.310	Souce Domain Accuracy: 56.84%    Target Domain Accuracy: 61.33%
Epoch [32/200]	Time: 2.80 seconds	Total Loss: 0.963	Classifier Loss: 0.649	Transfer Loss: 0.315	Souce Domain Accuracy: 60.55%    Target Domain Accuracy: 63.48%
Epoch [33/200]	Time: 4.16 seconds	Total Loss: 0.954	Classifier Loss: 0.648	Transfer Loss: 0.306	Souce Domain Accuracy: 60.35%    Target Domain Accuracy: 63.28%
Epoch [34/200]	Time: 2.81 seconds	Total Loss: 0.954	Classifier Loss: 0.641	Transfer Loss: 0.312	Souce Domain Accuracy: 61.72%    Target Domain Accuracy: 62.30%
Epoch [35/200]	Time: 4.17 seconds	Total Loss: 0.954	Classifier Loss: 0.642	Transfer Loss: 0.312	Souce Domain Accuracy: 66.60%    Target Domain Accuracy: 62.70%
Epoch [36/200]	Time: 2.81 seconds	Total Loss: 0.960	Classifier Loss: 0.647	Transfer Loss: 0.312	Souce Domain Accuracy: 62.89%    Target Domain Accuracy: 61.72%
Epoch [37/200]	Time: 2.81 seconds	Total Loss: 0.944	Classifier Loss: 0.632	Transfer Loss: 0.312	Souce Domain Accuracy: 59.57%    Target Domain Accuracy: 65.62%
Epoch [38/200]	Time: 4.15 seconds	Total Loss: 0.973	Classifier Loss: 0.664	Transfer Loss: 0.308	Souce Domain Accuracy: 62.70%    Target Domain Accuracy: 63.48%
Epoch [39/200]	Time: 2.80 seconds	Total Loss: 0.960	Classifier Loss: 0.652	Transfer Loss: 0.309	Souce Domain Accuracy: 58.79%    Target Domain Accuracy: 62.11%
Epoch [40/200]	Time: 4.16 seconds	Total Loss: 0.942	Classifier Loss: 0.634	Transfer Loss: 0.307	Souce Domain Accuracy: 65.82%    Target Domain Accuracy: 62.70%
Epoch [41/200]	Time: 2.82 seconds	Total Loss: 0.928	Classifier Loss: 0.627	Transfer Loss: 0.301	Souce Domain Accuracy: 58.79%    Target Domain Accuracy: 65.04%
Epoch [42/200]	Time: 4.15 seconds	Total Loss: 0.949	Classifier Loss: 0.635	Transfer Loss: 0.313	Souce Domain Accuracy: 67.19%    Target Domain Accuracy: 64.65%
Epoch [43/200]	Time: 2.80 seconds	Total Loss: 0.959	Classifier Loss: 0.647	Transfer Loss: 0.312	Souce Domain Accuracy: 61.91%    Target Domain Accuracy: 62.89%
Epoch [44/200]	Time: 2.81 seconds	Total Loss: 0.937	Classifier Loss: 0.632	Transfer Loss: 0.304	Souce Domain Accuracy: 65.23%    Target Domain Accuracy: 64.84%
Epoch [45/200]	Time: 4.16 seconds	Total Loss: 0.945	Classifier Loss: 0.639	Transfer Loss: 0.306	Souce Domain Accuracy: 64.65%    Target Domain Accuracy: 63.87%
Epoch [46/200]	Time: 2.80 seconds	Total Loss: 0.950	Classifier Loss: 0.641	Transfer Loss: 0.309	Souce Domain Accuracy: 65.04%    Target Domain Accuracy: 64.65%
Epoch [47/200]	Time: 4.16 seconds	Total Loss: 0.964	Classifier Loss: 0.647	Transfer Loss: 0.317	Souce Domain Accuracy: 61.33%    Target Domain Accuracy: 64.65%
Epoch [48/200]	Time: 2.81 seconds	Total Loss: 0.935	Classifier Loss: 0.633	Transfer Loss: 0.302	Souce Domain Accuracy: 62.50%    Target Domain Accuracy: 64.84%
Epoch [49/200]	Time: 4.16 seconds	Total Loss: 0.941	Classifier Loss: 0.630	Transfer Loss: 0.311	Souce Domain Accuracy: 64.26%    Target Domain Accuracy: 63.87%
Epoch [50/200]	Time: 2.81 seconds	Total Loss: 0.940	Classifier Loss: 0.630	Transfer Loss: 0.310	Souce Domain Accuracy: 64.45%    Target Domain Accuracy: 64.06%
Epoch [51/200]	Time: 2.81 seconds	Total Loss: 0.923	Classifier Loss: 0.626	Transfer Loss: 0.297	Souce Domain Accuracy: 66.02%    Target Domain Accuracy: 63.67%
Epoch [52/200]	Time: 4.16 seconds	Total Loss: 0.926	Classifier Loss: 0.623	Transfer Loss: 0.303	Souce Domain Accuracy: 66.02%    Target Domain Accuracy: 65.62%
Epoch [53/200]	Time: 2.80 seconds	Total Loss: 0.931	Classifier Loss: 0.632	Transfer Loss: 0.299	Souce Domain Accuracy: 62.11%    Target Domain Accuracy: 60.94%
Epoch [54/200]	Time: 4.16 seconds	Total Loss: 0.929	Classifier Loss: 0.627	Transfer Loss: 0.302	Souce Domain Accuracy: 61.72%    Target Domain Accuracy: 62.50%
Epoch [55/200]	Time: 2.82 seconds	Total Loss: 0.936	Classifier Loss: 0.633	Transfer Loss: 0.303	Souce Domain Accuracy: 63.09%    Target Domain Accuracy: 60.94%
Epoch [56/200]	Time: 4.18 seconds	Total Loss: 0.939	Classifier Loss: 0.625	Transfer Loss: 0.314	Souce Domain Accuracy: 64.84%    Target Domain Accuracy: 61.13%
Epoch [57/200]	Time: 2.80 seconds	Total Loss: 0.947	Classifier Loss: 0.645	Transfer Loss: 0.302	Souce Domain Accuracy: 52.34%    Target Domain Accuracy: 61.72%
Epoch [58/200]	Time: 4.16 seconds	Total Loss: 0.942	Classifier Loss: 0.637	Transfer Loss: 0.306	Souce Domain Accuracy: 63.48%    Target Domain Accuracy: 64.45%
Epoch [59/200]	Time: 2.82 seconds	Total Loss: 0.902	Classifier Loss: 0.608	Transfer Loss: 0.294	Souce Domain Accuracy: 66.80%    Target Domain Accuracy: 63.67%
Epoch [60/200]	Time: 2.82 seconds	Total Loss: 0.932	Classifier Loss: 0.630	Transfer Loss: 0.302	Souce Domain Accuracy: 59.38%    Target Domain Accuracy: 64.84%
Epoch [61/200]	Time: 4.16 seconds	Total Loss: 0.921	Classifier Loss: 0.621	Transfer Loss: 0.300	Souce Domain Accuracy: 66.02%    Target Domain Accuracy: 66.41%
Epoch [62/200]	Time: 2.82 seconds	Total Loss: 0.931	Classifier Loss: 0.628	Transfer Loss: 0.303	Souce Domain Accuracy: 63.87%    Target Domain Accuracy: 63.48%
Epoch [63/200]	Time: 4.18 seconds	Total Loss: 0.926	Classifier Loss: 0.627	Transfer Loss: 0.299	Souce Domain Accuracy: 66.60%    Target Domain Accuracy: 65.82%
Epoch [64/200]	Time: 2.80 seconds	Total Loss: 0.907	Classifier Loss: 0.613	Transfer Loss: 0.293	Souce Domain Accuracy: 62.30%    Target Domain Accuracy: 62.11%
Epoch [65/200]	Time: 4.18 seconds	Total Loss: 0.925	Classifier Loss: 0.626	Transfer Loss: 0.299	Souce Domain Accuracy: 63.67%    Target Domain Accuracy: 65.04%
Epoch [66/200]	Time: 2.82 seconds	Total Loss: 0.910	Classifier Loss: 0.613	Transfer Loss: 0.297	Souce Domain Accuracy: 65.82%    Target Domain Accuracy: 66.21%
Epoch [67/200]	Time: 4.18 seconds	Total Loss: 0.927	Classifier Loss: 0.625	Transfer Loss: 0.302	Souce Domain Accuracy: 67.38%    Target Domain Accuracy: 66.21%
Epoch [68/200]	Time: 2.80 seconds	Total Loss: 0.901	Classifier Loss: 0.604	Transfer Loss: 0.296	Souce Domain Accuracy: 67.77%    Target Domain Accuracy: 66.02%
Epoch [69/200]	Time: 2.81 seconds	Total Loss: 0.931	Classifier Loss: 0.634	Transfer Loss: 0.297	Souce Domain Accuracy: 60.55%    Target Domain Accuracy: 66.60%
Epoch [70/200]	Time: 4.17 seconds	Total Loss: 0.928	Classifier Loss: 0.629	Transfer Loss: 0.299	Souce Domain Accuracy: 67.38%    Target Domain Accuracy: 65.04%
Epoch [71/200]	Time: 2.80 seconds	Total Loss: 0.931	Classifier Loss: 0.621	Transfer Loss: 0.310	Souce Domain Accuracy: 60.35%    Target Domain Accuracy: 65.43%
Epoch [72/200]	Time: 4.16 seconds	Total Loss: 0.913	Classifier Loss: 0.621	Transfer Loss: 0.292	Souce Domain Accuracy: 63.87%    Target Domain Accuracy: 66.02%
Epoch [73/200]	Time: 2.81 seconds	Total Loss: 0.908	Classifier Loss: 0.610	Transfer Loss: 0.298	Souce Domain Accuracy: 63.28%    Target Domain Accuracy: 65.43%
Epoch [74/200]	Time: 4.15 seconds	Total Loss: 0.868	Classifier Loss: 0.580	Transfer Loss: 0.288	Souce Domain Accuracy: 60.16%    Target Domain Accuracy: 66.99%
Epoch [75/200]	Time: 2.80 seconds	Total Loss: 0.910	Classifier Loss: 0.612	Transfer Loss: 0.298	Souce Domain Accuracy: 64.65%    Target Domain Accuracy: 64.84%
Epoch [76/200]	Time: 4.17 seconds	Total Loss: 0.933	Classifier Loss: 0.634	Transfer Loss: 0.299	Souce Domain Accuracy: 64.45%    Target Domain Accuracy: 63.67%
Epoch [77/200]	Time: 2.82 seconds	Total Loss: 0.911	Classifier Loss: 0.612	Transfer Loss: 0.299	Souce Domain Accuracy: 66.41%    Target Domain Accuracy: 66.99%
Epoch [78/200]	Time: 2.80 seconds	Total Loss: 0.909	Classifier Loss: 0.611	Transfer Loss: 0.298	Souce Domain Accuracy: 61.13%    Target Domain Accuracy: 60.74%
Epoch [79/200]	Time: 4.15 seconds	Total Loss: 0.898	Classifier Loss: 0.607	Transfer Loss: 0.291	Souce Domain Accuracy: 65.82%    Target Domain Accuracy: 63.87%
Epoch [80/200]	Time: 2.82 seconds	Total Loss: 0.887	Classifier Loss: 0.594	Transfer Loss: 0.294	Souce Domain Accuracy: 66.41%    Target Domain Accuracy: 65.62%
Epoch [81/200]	Time: 4.17 seconds	Total Loss: 0.894	Classifier Loss: 0.603	Transfer Loss: 0.292	Souce Domain Accuracy: 58.98%    Target Domain Accuracy: 65.82%
Epoch [82/200]	Time: 2.80 seconds	Total Loss: 0.890	Classifier Loss: 0.600	Transfer Loss: 0.290	Souce Domain Accuracy: 67.77%    Target Domain Accuracy: 64.45%
Epoch [83/200]	Time: 4.16 seconds	Total Loss: 0.894	Classifier Loss: 0.601	Transfer Loss: 0.293	Souce Domain Accuracy: 64.26%    Target Domain Accuracy: 62.30%
Epoch [84/200]	Time: 2.81 seconds	Total Loss: 0.904	Classifier Loss: 0.606	Transfer Loss: 0.298	Souce Domain Accuracy: 65.62%    Target Domain Accuracy: 68.16%
Epoch [85/200]	Time: 4.17 seconds	Total Loss: 0.913	Classifier Loss: 0.614	Transfer Loss: 0.299	Souce Domain Accuracy: 65.82%    Target Domain Accuracy: 66.99%
Epoch [86/200]	Time: 2.79 seconds	Total Loss: 0.884	Classifier Loss: 0.594	Transfer Loss: 0.290	Souce Domain Accuracy: 67.97%    Target Domain Accuracy: 67.19%
Epoch [87/200]	Time: 2.80 seconds	Total Loss: 0.896	Classifier Loss: 0.597	Transfer Loss: 0.298	Souce Domain Accuracy: 66.21%    Target Domain Accuracy: 67.97%
Epoch [88/200]	Time: 4.18 seconds	Total Loss: 0.882	Classifier Loss: 0.592	Transfer Loss: 0.290	Souce Domain Accuracy: 66.60%    Target Domain Accuracy: 69.34%
Epoch [89/200]	Time: 2.82 seconds	Total Loss: 0.880	Classifier Loss: 0.588	Transfer Loss: 0.292	Souce Domain Accuracy: 67.77%    Target Domain Accuracy: 65.43%
Epoch [90/200]	Time: 4.16 seconds	Total Loss: 0.891	Classifier Loss: 0.600	Transfer Loss: 0.292	Souce Domain Accuracy: 66.41%    Target Domain Accuracy: 64.45%
Epoch [91/200]	Time: 2.81 seconds	Total Loss: 0.891	Classifier Loss: 0.601	Transfer Loss: 0.289	Souce Domain Accuracy: 61.52%    Target Domain Accuracy: 65.62%
Epoch [92/200]	Time: 4.16 seconds	Total Loss: 0.878	Classifier Loss: 0.583	Transfer Loss: 0.294	Souce Domain Accuracy: 64.26%    Target Domain Accuracy: 67.19%
Epoch [93/200]	Time: 2.81 seconds	Total Loss: 0.910	Classifier Loss: 0.619	Transfer Loss: 0.292	Souce Domain Accuracy: 68.55%    Target Domain Accuracy: 66.41%
Epoch [94/200]	Time: 2.80 seconds	Total Loss: 0.897	Classifier Loss: 0.603	Transfer Loss: 0.294	Souce Domain Accuracy: 64.65%    Target Domain Accuracy: 64.45%
Epoch [95/200]	Time: 4.16 seconds	Total Loss: 0.867	Classifier Loss: 0.581	Transfer Loss: 0.286	Souce Domain Accuracy: 65.04%    Target Domain Accuracy: 65.23%
