Training mode: MMD only
Training model...
Epoch [1/100]	Time: 21.47 seconds	Classifier Loss: 0.694		Souce Domain Accuracy: 48.44%    Target Domain Accuracy: 53.52%
Epoch [2/100]	Time: 0.72 seconds	Classifier Loss: 0.691		Souce Domain Accuracy: 53.12%    Target Domain Accuracy: 50.00%
Epoch [3/100]	Time: 1.77 seconds	Classifier Loss: 0.693		Souce Domain Accuracy: 49.22%    Target Domain Accuracy: 62.89%
Epoch [4/100]	Time: 1.77 seconds	Classifier Loss: 0.690		Souce Domain Accuracy: 53.32%    Target Domain Accuracy: 48.63%
Epoch [5/100]	Time: 0.73 seconds	Classifier Loss: 0.686		Souce Domain Accuracy: 56.64%    Target Domain Accuracy: 53.32%
Epoch [6/100]	Time: 1.77 seconds	Classifier Loss: 0.685		Souce Domain Accuracy: 54.88%    Target Domain Accuracy: 50.98%
Epoch [7/100]	Time: 1.77 seconds	Classifier Loss: 0.682		Souce Domain Accuracy: 53.71%    Target Domain Accuracy: 49.22%
Epoch [8/100]	Time: 1.77 seconds	Classifier Loss: 0.683		Souce Domain Accuracy: 54.88%    Target Domain Accuracy: 60.16%
Epoch [9/100]	Time: 0.72 seconds	Classifier Loss: 0.681		Souce Domain Accuracy: 55.27%    Target Domain Accuracy: 51.17%
Epoch [10/100]	Time: 1.77 seconds	Classifier Loss: 0.681		Souce Domain Accuracy: 55.08%    Target Domain Accuracy: 52.15%
Epoch [11/100]	Time: 1.77 seconds	Classifier Loss: 0.679		Souce Domain Accuracy: 54.69%    Target Domain Accuracy: 51.95%
Epoch [12/100]	Time: 0.73 seconds	Classifier Loss: 0.676		Souce Domain Accuracy: 54.69%    Target Domain Accuracy: 51.56%
Epoch [13/100]	Time: 1.77 seconds	Classifier Loss: 0.677		Souce Domain Accuracy: 56.45%    Target Domain Accuracy: 55.47%
Epoch [14/100]	Time: 1.77 seconds	Classifier Loss: 0.673		Souce Domain Accuracy: 55.86%    Target Domain Accuracy: 52.54%
Epoch [15/100]	Time: 1.77 seconds	Classifier Loss: 0.674		Souce Domain Accuracy: 56.64%    Target Domain Accuracy: 51.95%
Epoch [16/100]	Time: 0.72 seconds	Classifier Loss: 0.666		Souce Domain Accuracy: 56.84%    Target Domain Accuracy: 52.93%
Epoch [17/100]	Time: 1.77 seconds	Classifier Loss: 0.663		Souce Domain Accuracy: 62.30%    Target Domain Accuracy: 59.18%
Epoch [18/100]	Time: 1.77 seconds	Classifier Loss: 0.663		Souce Domain Accuracy: 58.01%    Target Domain Accuracy: 68.55%
Epoch [19/100]	Time: 1.77 seconds	Classifier Loss: 0.658		Souce Domain Accuracy: 53.32%    Target Domain Accuracy: 56.84%
Epoch [20/100]	Time: 0.72 seconds	Classifier Loss: 0.653		Souce Domain Accuracy: 58.01%    Target Domain Accuracy: 62.89%
Epoch [21/100]	Time: 1.76 seconds	Classifier Loss: 0.656		Souce Domain Accuracy: 60.55%    Target Domain Accuracy: 71.68%
Epoch [22/100]	Time: 1.77 seconds	Classifier Loss: 0.657		Souce Domain Accuracy: 50.78%    Target Domain Accuracy: 61.13%
Epoch [23/100]	Time: 0.73 seconds	Classifier Loss: 0.657		Souce Domain Accuracy: 59.18%    Target Domain Accuracy: 59.57%
Epoch [24/100]	Time: 1.77 seconds	Classifier Loss: 0.642		Souce Domain Accuracy: 64.26%    Target Domain Accuracy: 73.05%
Epoch [25/100]	Time: 1.77 seconds	Classifier Loss: 0.640		Souce Domain Accuracy: 62.89%    Target Domain Accuracy: 56.64%
Epoch [26/100]	Time: 1.77 seconds	Classifier Loss: 0.634		Souce Domain Accuracy: 63.48%    Target Domain Accuracy: 70.31%
Epoch [27/100]	Time: 0.73 seconds	Classifier Loss: 0.630		Souce Domain Accuracy: 65.62%    Target Domain Accuracy: 72.07%
Epoch [28/100]	Time: 1.77 seconds	Classifier Loss: 0.617		Souce Domain Accuracy: 57.23%    Target Domain Accuracy: 69.92%
Epoch [29/100]	Time: 1.77 seconds	Classifier Loss: 0.623		Souce Domain Accuracy: 66.60%    Target Domain Accuracy: 72.85%
Epoch [30/100]	Time: 0.73 seconds	Classifier Loss: 0.620		Souce Domain Accuracy: 68.55%    Target Domain Accuracy: 69.92%
Epoch [31/100]	Time: 1.76 seconds	Classifier Loss: 0.611		Souce Domain Accuracy: 60.94%    Target Domain Accuracy: 55.86%
Epoch [32/100]	Time: 1.77 seconds	Classifier Loss: 0.603		Souce Domain Accuracy: 68.55%    Target Domain Accuracy: 70.90%
Epoch [33/100]	Time: 1.78 seconds	Classifier Loss: 0.599		Souce Domain Accuracy: 67.19%    Target Domain Accuracy: 72.07%
Epoch [34/100]	Time: 0.73 seconds	Classifier Loss: 0.598		Souce Domain Accuracy: 66.21%    Target Domain Accuracy: 57.23%
